start_time,end_time,command,time_taken
2022-02-01 14:41:21.647516,2022-02-01 14:41:27.184050,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello.py,0:00:05.536534
2022-02-01 14:41:21.650285,2022-02-01 14:41:27.184820,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello2.py,0:00:05.534535
2022-02-01 14:41:21.650285,2022-02-01 14:41:27.184820,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello3.py,0:00:05.534535
2022-02-01 14:41:21.650285,2022-02-01 14:41:27.198782,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello4.py,0:00:05.548497
2022-02-01 15:16:15.523163,2022-02-01 15:16:21.004004,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello3.py,0:00:05.480841
2022-02-01 15:16:15.522170,2022-02-01 15:16:21.025115,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello2.py,0:00:05.502945
2022-02-01 15:16:15.520317,2022-02-01 15:16:21.026014,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello.py,0:00:05.505697
2022-02-01 15:16:15.523163,2022-02-01 15:16:21.040004,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello4.py,0:00:05.516841
2022-02-01 15:17:05.042111,2022-02-01 15:17:10.563748,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello.py,0:00:05.521637
2022-02-01 15:17:05.045372,2022-02-01 15:17:10.566483,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello3.py,0:00:05.521111
2022-02-01 15:17:05.045372,2022-02-01 15:17:10.567488,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello4.py,0:00:05.522116
2022-02-01 15:17:05.044445,2022-02-01 15:17:10.570247,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello2.py,0:00:05.525802
2022-02-01 16:54:53.725621,2022-02-01 16:54:58.985349,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello2.py,0:00:05.259728
2022-02-01 16:54:53.726618,2022-02-01 16:54:58.986346,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello.py,0:00:05.259728
2022-02-01 16:54:53.726618,2022-02-01 16:54:58.986346,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello3.py,0:00:05.259728
2022-02-01 16:54:53.726618,2022-02-01 16:54:58.987345,python C:\Users\mjoshi\PycharmProjects\pythonProject\Mohit\hello4.py,0:00:05.260727
